block.0.attn.q_conv.weight,block.0.attn.q_conv.bias,block.0.attn.k_conv.weight,block.0.attn.k_conv.bias,block.0.attn.v_conv.weight,block.0.attn.v_conv.bias,block.0.attn.talking_heads.weight,block.0.attn.proj_conv.weight,block.0.attn.proj_conv.bias,block.0.mlp.fc1_conv.weight,block.0.mlp.fc1_conv.bias,block.0.mlp.fc2_conv.weight,block.0.mlp.fc2_conv.bias,head.bias,head.weight
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,95,0,0,0
0,0,0,0,0,0,0,1,0,0,3,686,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3674,0,0,0
0,0,0,0,0,0,0,28,0,0,2,14891,1,0,0
0,0,0,0,0,0,0,974,0,0,37,42111,0,0,0
0,0,0,0,0,0,0,158,0,0,6,3606,0,0,0
1,4,0,2,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,191,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,203,0,0,8,4009,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,230,0,0,9,4084,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,267,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,332,0,0,8,4182,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,350,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,425,0,0,18,4334,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,459,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,485,0,0,16,4536,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,539,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,622,1,8,12,4553,0,0,0
2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,747,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,756,0,25,15,4854,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,2,0,0,0,0,808,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,0,0,917,0,83,28,4721,1,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,1,1,1,0,0,0,0,0,0,0,0,0
14,0,3,0,1,0,0,0,0,0,0,0,0,0,0
18,1,0,0,2,0,0,0,0,0,0,0,0,0,0
14,0,1,1,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,0,1,0,2,0,0,0,0,0,0,0,0,0,0
21,0,0,0,1,0,0,1011,1,0,0,0,0,0,1
10,0,2,0,0,0,0,0,0,0,0,0,0,0,2
20,0,3,0,0,0,0,0,0,0,0,0,0,0,0
18,0,2,0,1,1,0,0,0,0,0,0,0,0,2
19,0,1,0,1,0,0,0,0,0,0,0,0,0,1
22,0,2,0,2,2,0,0,0,0,0,0,0,0,0
22,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,0,2,0,2,0,0,0,0,0,0,0,0,0,2
23,0,2,0,2,0,0,1111,1,353,28,4810,1,0,1
28,0,0,0,3,0,0,0,0,0,0,0,0,0,2
30,0,3,0,4,1,0,0,0,0,0,0,0,0,1
28,0,1,0,2,1,0,0,0,0,0,0,0,0,1
25,1,1,0,3,0,0,0,0,0,0,0,0,0,2
30,0,2,0,3,0,0,0,0,0,0,0,0,0,4
21,0,3,1,6,0,0,0,0,0,0,0,0,0,2
22,0,5,1,3,0,0,0,0,0,0,0,0,0,3
43,0,4,0,4,0,0,1178,1,0,0,0,0,0,2
29,1,6,0,5,0,0,0,0,0,0,0,0,0,7
40,0,3,0,3,0,0,0,0,0,0,0,0,0,9
38,0,8,0,8,0,0,0,0,0,0,0,0,0,7
35,0,8,0,0,0,0,0,0,0,0,0,0,0,2
49,0,10,1,4,0,0,0,0,0,0,0,0,0,7
39,0,9,0,5,0,0,0,0,0,0,0,0,0,8
55,0,4,0,6,1,0,0,0,0,0,0,0,0,16
52,0,7,0,7,0,0,1354,0,1229,32,4935,1,0,12
46,1,6,0,9,0,0,0,0,0,0,0,0,0,19
46,0,4,0,3,0,0,0,0,0,0,0,0,0,17
64,0,5,0,10,0,0,0,0,0,0,0,0,0,13
47,0,6,0,9,0,0,0,0,0,0,0,0,0,21
50,0,17,0,11,0,0,0,0,0,0,0,0,0,26
59,1,6,0,12,0,0,0,0,0,0,0,0,0,17
70,0,6,0,13,1,0,0,0,0,0,0,0,0,26
65,0,6,0,15,0,0,1395,1,0,0,0,0,0,24
85,0,16,0,23,0,1,0,0,0,0,0,0,0,23
100,0,15,0,13,0,1,0,0,0,0,0,0,0,32
75,0,22,0,16,0,0,0,0,0,0,0,0,0,35
77,0,17,1,17,0,0,0,0,0,0,0,0,0,35
100,0,20,0,18,0,0,0,0,0,0,0,0,0,38
84,0,17,0,28,0,0,0,0,0,0,0,0,0,48
89,0,13,0,20,1,0,0,0,0,0,0,0,0,42
89,0,27,0,31,0,0,1454,1,3861,36,4775,2,0,48
94,0,21,0,31,0,0,0,0,0,0,0,0,0,56
104,0,41,1,37,1,0,0,0,0,0,0,0,0,45
92,1,25,0,26,0,1,0,0,0,0,0,0,0,66
107,0,38,0,40,0,0,0,0,0,0,0,0,0,66
132,0,34,1,37,0,1,0,0,0,0,0,0,0,65
116,1,34,0,41,0,0,0,0,0,0,0,0,0,62
121,0,42,0,40,0,0,0,0,0,0,0,0,0,86
132,0,47,0,37,1,0,1649,0,0,0,0,0,0,64
156,1,41,0,54,1,1,0,0,0,0,0,0,0,69
119,1,55,0,45,0,0,0,0,0,0,0,0,0,102
149,0,67,0,61,0,0,0,0,0,0,0,0,0,94
149,0,62,0,52,0,0,0,0,0,0,0,0,0,88
161,1,64,0,53,0,0,0,0,0,0,0,0,0,66
167,0,77,0,78,0,0,0,0,0,0,0,0,0,87
156,1,83,0,80,0,0,0,0,0,0,0,0,0,110
207,1,85,0,83,0,0,1622,3,10555,33,665,0,0,92
194,0,85,1,95,0,0,0,0,0,0,0,0,0,125
183,0,80,0,81,0,0,0,0,0,0,0,0,0,126
193,1,96,0,97,0,0,0,0,0,0,0,0,0,115
205,1,120,0,99,0,1,0,0,0,0,0,0,0,104
226,1,101,0,120,0,1,0,0,0,0,0,0,0,108
231,0,112,1,138,0,2,0,0,0,0,0,0,0,104
215,0,131,0,134,2,0,0,0,0,0,0,0,0,127
235,1,137,0,152,0,0,1807,3,0,0,0,0,0,119
226,0,150,0,150,0,1,0,0,0,0,0,0,0,129
267,1,154,0,160,0,1,0,0,0,0,0,0,0,131
273,0,135,0,145,1,0,0,0,0,0,0,0,0,142
248,1,194,0,187,0,0,0,0,0,0,0,0,0,147
269,0,215,0,179,0,1,0,0,0,0,0,0,0,138
250,1,203,0,201,1,0,0,0,0,0,0,0,0,137
312,0,211,0,198,0,0,0,0,0,0,0,0,0,159
311,0,242,0,226,0,0,1844,4,23037,37,0,2,0,164
277,0,227,0,232,0,0,0,0,0,0,0,0,0,125
304,0,242,0,241,0,1,0,0,0,0,0,0,0,158
337,0,289,0,258,1,0,0,0,0,0,0,0,0,135
322,0,254,0,258,0,2,0,0,0,0,0,0,0,159
382,0,278,0,310,1,0,0,0,0,0,0,0,0,157
339,0,336,0,332,0,0,0,0,0,0,0,0,0,147
344,0,303,0,320,0,0,0,0,0,0,0,0,0,153
351,0,343,0,347,0,0,1905,2,0,0,0,0,0,173
408,0,389,0,364,1,0,0,0,0,0,0,0,0,155
443,0,364,0,386,0,1,0,0,0,0,0,0,0,163
388,0,405,1,386,0,2,0,0,0,0,0,0,0,165
396,0,392,0,411,0,0,0,0,0,0,0,0,0,173
409,0,416,0,435,0,0,0,0,0,0,0,0,0,163
438,1,504,0,458,0,1,0,0,0,0,0,0,0,164
451,0,503,2,431,0,0,0,0,0,0,0,0,0,162
434,0,504,1,516,0,1,1908,5,40332,45,0,2,0,187
487,0,530,2,539,0,1,0,0,0,0,0,0,0,188
431,0,561,1,574,0,0,0,0,0,0,0,0,0,179
510,0,584,0,579,0,0,0,0,0,0,0,0,0,170
509,0,602,0,569,0,0,0,0,0,0,0,0,0,178
491,0,686,0,576,1,0,0,0,0,0,0,0,1,209
536,1,660,0,647,0,0,0,0,0,0,0,0,0,182
524,0,631,0,641,1,1,0,0,0,0,0,0,1,190
523,2,683,0,700,1,1,1245,8,0,0,0,0,0,199
562,1,758,3,694,0,0,0,0,0,0,0,0,0,183
566,1,742,0,723,0,0,0,0,0,0,0,0,0,214
544,0,727,0,736,0,0,0,0,0,0,0,0,2,212
597,1,789,0,779,0,0,0,0,0,0,0,0,0,197
537,0,796,0,783,0,0,0,0,0,0,0,0,2,209
560,0,841,0,834,1,0,0,0,0,0,0,0,1,234
614,1,835,0,816,1,1,0,0,0,0,0,0,2,219
618,0,893,0,833,0,0,13,5,34738,40,0,2,0,224
588,0,957,0,880,0,0,0,0,0,0,0,0,1,218
576,1,887,0,908,1,1,0,0,0,0,0,0,3,192
598,1,949,0,899,0,0,0,0,0,0,0,0,0,217
613,1,968,0,887,0,2,0,0,0,0,0,0,2,214
598,1,905,0,1060,0,0,0,0,0,0,0,0,4,221
626,2,1020,1,959,0,0,0,0,0,0,0,0,2,74
568,0,983,1,987,0,0,0,0,0,0,0,0,4,0
302,0,947,0,979,0,0,0,5,0,0,0,0,3,0
